,All people,White,White: Scottish,White: Other British,White: Irish,White: Gypsy/Traveller,White: Polish,White: Other White,Mixed or multiple ethnic groups,"Asian, Asian Scottish or Asian British","Asian, Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British","Asian, Asian Scottish or Asian British: Indian, Indian Scottish or Indian British","Asian, Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British","Asian, Asian Scottish or Asian British: Chinese, Chinese Scottish or Chinese British","Asian, Asian Scottish or Asian British: Other Asian",African,"African: African, African Scottish or African British",African: Other African,Caribbean or Black,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British","Caribbean or Black: Black, Black Scottish or Black British",Caribbean or Black: Other Caribbean or Black,Other ethnic groups,"Other ethnic groups: Arab, Arab Scottish or Arab British",Other ethnic groups: Other ethnic group
S00106509,125,124,106,13,1,-,-,4,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-
S00106510,128,122,109,11,2,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00106511,137,137,101,26,6,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00106512,125,125,99,22,-,-,1,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
S00106513,105,102,79,17,-,-,-,6,-,3,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-
S00106514,59,57,34,14,1,1,2,5,-,1,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-
S00106515,95,83,53,19,1,-,4,6,-,11,11,-,-,-,-,-,-,-,-,-,-,-,1,1,-
S00106516,88,83,55,10,-,-,8,10,1,3,2,-,-,-,1,-,-,-,1,-,1,-,-,-,-
S00106517,78,68,43,9,2,-,5,9,-,8,-,6,-,-,2,2,2,-,-,-,-,-,-,-,-
S00106518,126,120,108,5,-,-,6,1,1,2,2,-,-,-,-,2,2,-,-,-,-,-,1,-,1
S00106519,88,82,71,3,-,-,6,2,2,3,-,2,-,1,-,1,1,-,-,-,-,-,-,-,-
S00106520,82,75,35,27,3,1,1,8,-,6,-,2,-,3,1,-,-,-,-,-,-,-,1,1,-
S00106521,60,49,39,10,-,-,-,-,-,11,9,-,-,2,-,-,-,-,-,-,-,-,-,-,-
S00106522,67,57,35,12,-,-,5,5,-,6,1,1,-,1,3,2,2,-,-,-,-,-,2,2,-
S00106523,81,66,39,11,6,1,4,5,-,10,-,7,1,2,-,3,3,-,-,-,-,-,2,2,-
S00106524,98,94,69,9,7,-,2,7,-,2,1,-,1,-,-,1,1,-,1,1,-,-,-,-,-
S00106525,117,97,71,9,2,-,6,9,-,12,2,5,-,2,3,-,-,-,2,2,-,-,6,2,4
